ICD-10 code,Description,Body system,Progressive,code heading
E11.621,Type 2 diabetes mellitus with foot ulcer,endocrinological,no,E11
E11.622,Type 2 diabetes mellitus with other skin ulcer,endocrinological,no,E11
E11.628,Type 2 diabetes mellitus with other skin complications,endocrinological,no,E11
E11.630,Type 2 diabetes mellitus with periodontal disease,endocrinological,no,E11
E11.638,Type 2 diabetes mellitus with other oral complications,endocrinological,no,E11
E11.641,Type 2 diabetes mellitus with hypoglycemia with coma,endocrinological,no,E11
E11.649,Type 2 diabetes mellitus with hypoglycemia without coma,endocrinological,no,E11
E11.65,Type 2 diabetes mellitus with hyperglycemia,endocrinological,no,E11
E11.69,Type 2 diabetes mellitus with other specified complication,endocrinological,no,E11
E11.8,Type 2 diabetes mellitus with unspecified complications,endocrinological,no,E11
E11.9,Type 2 diabetes mellitus without complications,endocrinological,no,E11
E13.00,Other specified diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),endocrinological,no,E13
E13.01,Other specified diabetes mellitus with hyperosmolarity with coma,endocrinological,no,E13
E13.10,Other specified diabetes mellitus with ketoacidosis without coma,endocrinological,no,E13
E13.11,Other specified diabetes mellitus with ketoacidosis with coma,endocrinological,no,E13
E13.21,Other specified diabetes mellitus with diabetic nephropathy,endocrinological,no,E13
E13.22,Other specified diabetes mellitus with diabetic chronic kidney disease,endocrinological,no,E13
E13.29,Other specified diabetes mellitus with other diabetic kidney complication,endocrinological,no,E13
E13.311,Other specified diabetes mellitus with unspecified diabetic retinopathy with macular edema,endocrinological,no,E13
E13.319,Other specified diabetes mellitus with unspecified diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3211,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3212,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3213,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3219,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3291,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3292,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3293,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3299,Other specified diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3311,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3312,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3313,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3319,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3391,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3392,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3393,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3399,Other specified diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3411,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3412,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3413,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3419,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3491,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3492,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3493,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3499,Other specified diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3511,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3512,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3513,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3519,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3521,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,E13
E13.3522,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,E13
E13.3523,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,E13
E13.3529,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula,endocrinological,no,E13
E13.3531,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,E13
E13.3532,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,E13
E13.3533,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,E13
E13.3539,Other specified diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula,endocrinological,no,E13
E13.3541, Other specified diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,E13
E13.3542, Other specified diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,E13
E13.3543, Other specified diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,E13
E13.3549, Other specified diabetes mellitus with stable proliferative diabetic retinopathy,endocrinological,no,E13
E13.3551,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3552,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3553,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3559,Other specified diabetes mellitus with proliferative diabetic retinopathy with macular edema,endocrinological,no,E13
E13.3591,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3592,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3593,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.3599,Other specified diabetes mellitus with proliferative diabetic retinopathy without macular edema,endocrinological,no,E13
E13.36,Other specified diabetes mellitus with diabetic cataract,endocrinological,no,E13
E13.37X1,Other specified diabetes mellitus with diabetic macular edema; resolved following treatment; right eye,endocrinological,no,E13
E13.37X2,Other specified diabetes mellitus with diabetic macular edema; resolved following treatment; right eye,endocrinological,no,E13
E13.37X3,Other specified diabetes mellitus with diabetic macular edema; resolved following treatment; right eye,endocrinological,no,E13
E13.37X9,Other specified diabetes mellitus with diabetic macular edema; resolved following treatment; right eye,endocrinological,no,E13
E13.39,E1337X2 Other specified diabetes mellitus with diabetic macular edema; resolved following treatment,endocrinological,no,E13
E13.40,Other specified diabetes mellitus with diabetic neuropathy; unspecified,endocrinological,no,E13
E13.41,Other specified diabetes mellitus with diabetic mononeuropathy,endocrinological,no,E13
E13.42,Other specified diabetes mellitus with diabetic polyneuropathy,endocrinological,no,E13
E13.43,Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy,endocrinological,no,E13
E13.44,Other specified diabetes mellitus with diabetic amyotrophy,endocrinological,no,E13
E13.49,Other specified diabetes mellitus with other diabetic neurological complication,endocrinological,no,E13
E13.51,Other specified diabetes mellitus with diabetic peripheral angiopathy without gangrene,endocrinological,no,E13
E13.52,Other specified diabetes mellitus with diabetic peripheral angiopathy with gangrene,endocrinological,no,E13
E13.59,Other specified diabetes mellitus with other circulatory complications,endocrinological,no,E13
E13.610,Other specified diabetes mellitus with diabetic neuropathic arthropathy,endocrinological,no,E13
E13.618,Other specified diabetes mellitus with other diabetic arthropathy,endocrinological,no,E13
E13.620,Other specified diabetes mellitus with diabetic dermatitis,endocrinological,no,E13
E13.621,Other specified diabetes mellitus with foot ulcer,endocrinological,no,E13
E13.622,Other specified diabetes mellitus with other skin ulcer,endocrinological,no,E13
E13.628,Other specified diabetes mellitus with other skin complications,endocrinological,no,E13
E13.630,Other specified diabetes mellitus with periodontal disease,endocrinological,no,E13
E13.638,Other specified diabetes mellitus with other oral complications,endocrinological,no,E13
E13.641,Other specified diabetes mellitus with hypoglycemia with coma,endocrinological,no,E13
E13.649,Other specified diabetes mellitus with hypoglycemia without coma,endocrinological,no,E13
E13.65,Other specified diabetes mellitus with hyperglycemia,endocrinological,no,E13
E13.69,Other specified diabetes mellitus with other specified complication,endocrinological,no,E13
E13.8,Other specified diabetes mellitus with unspecified complications,endocrinological,no,E13
E13.9,Other specified diabetes mellitus without complications,endocrinological,no,E13
E20.9,Hypoparathyroidism; unspecified,endocrinological,no,E209
E21.0,Primary hyperparathyroidism,endocrinological,no,E21
E21.1,Secondary hyperparathyroidism; not elsewhere classified,endocrinological,no,E21
E21.2,Other hyperparathyroidism,endocrinological,no,E21
E21.3,Hyperparathyroidism; unspecified,endocrinological,no,E21
E21.4,Other specified disorders of parathyroid gland,endocrinological,no,E21
E21.5,Disorder of parathyroid gland; unspecified,endocrinological,no,E21
E22.0,Acromegaly and pituitary gigantism,endocrinological,no,E220
E22.8,Other hyperfunction of pituitary gland,endocrinological,no,E228
E22.9,Hyperfunction of pituitary gland; unspecified,endocrinological,no,E229
E23.0,Hypopituitarism,endocrinological,yes,E230
E23.2,Diabetes insipidus,endocrinological,no,E232
E23.6,Other disorders of pituitary gland,endocrinological,no,E236
E24.0,Pituitary-dependent Cushing's disease,endocrinological,no,E243
E24.3,Ectopic ACTH syndrome,endocrinological,no,E248
E24.8,Other Cushing's syndrome,endocrinological,no,E249
E24.9,Cushing's syndrome; unspecified,endocrinological,no,E25
E25.0,Congenital adrenogenital disorders associated with enzyme deficiency,endocrinological,no,E25
E25.8,Other adrenogenital disorders,endocrinological,no,E25
E25.9,Adrenogenital disorder; unspecified,endocrinological,no,E25
E26.01,Conn's syndrome,endocrinological,no,E260
E26.02,Glucocorticoid-remediable aldosteronism,endocrinological,no,E260
E26.09,Other primary hyperaldosteronism,endocrinological,no,E260
E26.1,Secondary hyperaldosteronism,endocrinological,no,E261
E26.81,Bartter's syndrome,endocrinological,no,E2681
E26.9,Hyperaldosteronism; unspecified,endocrinological,no,E269
E27.0,Other adrenocortical overactivity,endocrinological,no,E270
E27.1,Primary adrenocortical insufficiency,endocrinological,no,E271
E27.40,Unspecified adrenocortical insufficiency,endocrinological,no,E274
E27.49,Other adrenocortical insufficiency,endocrinological,no,E274
E27.5,Adrenomedullary hyperfunction,endocrinological,no,E275
E27.8,Other specified disorders of adrenal gland,endocrinological,no,E278
E27.9,Disorder of adrenal gland; unspecified,endocrinological,no,E279
E28.0,Estrogen excess,endocrinological,no,E28
E28.1,Androgen excess,endocrinological,no,E28
E28.2,Polycystic ovarian syndrome,endocrinological,no,E28
E28.310,Symptomatic premature menopause,endocrinological,no,E28
E28.319,Asymptomatic premature menopause,endocrinological,no,E28
E28.39,Other primary ovarian failure,endocrinological,no,E28
E28.8,Other ovarian dysfunction,endocrinological,no,E28
E28.9,Ovarian dysfunction; unspecified,endocrinological,no,E28
E29.0,Testicular hyperfunction,endocrinological,no,E29
E29.1,Testicular hypofunction,endocrinological,no,E29
E29.8,Other testicular dysfunction,endocrinological,no,E29
E29.9,Testicular dysfunction; unspecified,endocrinological,no,E29
E31.0,Autoimmune polyglandular failure,endocrinological,no,E310
E31.20,Multiple endocrine neoplasia [MEN] syndrome; unspecified,malignancy,n/a,E312
E31.21,Multiple endocrine neoplasia [MEN] type I,malignancy,n/a,E312
E31.22,Multiple endocrine neoplasia [MEN] type IIA,malignancy,n/a,E312
E31.23,Multiple endocrine neoplasia [MEN] type IIB,malignancy,n/a,E312
E31.8,Other polyglandular dysfunction,endocrinological,no,E318
E31.9,Polyglandular dysfunction; unspecified,endocrinological,no,E319
E40,Kwashiorkor,metabolic,no,E40
E43,Unspecified severe protein-calorie malnutrition,metabolic,no,E43
E44.0,Moderate protein-calorie malnutrition,metabolic,no,E440
E45,Retarded development following protein-calorie malnutrition,neurological,no,E45
E50.0,Vitamin A deficiency with conjunctival xerosis,metabolic,no,E50
E50.1,Vitamin A deficiency with Bitot's spot and conjunctival xerosis,metabolic,no,E50
E50.2,Vitamin A deficiency with corneal xerosis,metabolic,no,E50
E50.3,Vitamin A deficiency with corneal ulceration and xerosis,metabolic,no,E50
E50.4,Vitamin A deficiency with keratomalacia,metabolic,no,E50
E50.5,Vitamin A deficiency with night blindness,metabolic,no,E50
E50.6,Vitamin A deficiency with xerophthalmic scars of cornea,metabolic,no,E50
E50.7,Other ocular manifestations of vitamin A deficiency,metabolic,no,E50
E50.8,Other manifestations of vitamin A deficiency,metabolic,no,E50
E50.9,Vitamin A deficiency; unspecified,metabolic,no,E50
E52,Niacin deficiency [pellagra],metabolic,no,E52
E53.0,Riboflavin deficiency,metabolic,no,E53
E53.1,Pyridoxine deficiency,metabolic,no,E53
E53.8,Deficiency of other specified B group vitamins,metabolic,no,E53
E53.9,Vitamin B deficiency; unspecified,metabolic,no,E53
E54,Ascorbic acid deficiency,metabolic,no,E54
E55.0,Rickets; active,metabolic,no,E550
E64.3,Sequelae of rickets,metabolic,no,E643
E66.01,Morbid (severe) obesity due to excess calories,metabolic,no,E6601
E70.0,Classical phenylketonuria,metabolic,yes,E700
E70.21,Tyrosinemia,metabolic,yes,E7021
E70.29,Other disorders of tyrosine metabolism,metabolic,yes,E7029
E70.40,Disorders of histidine metabolism; unspecified,metabolic,yes,E7040
E70.5,Disorders of tryptophan metabolism,metabolic,yes,E705
E70.8,Other disorders of aromatic amino-acid metabolism,metabolic,yes,E708
E71.0,Maple-syrup-urine disease,metabolic,yes,E710
E71.120,Methylmalonic acidemia,metabolic,yes,E71120
E71.19,Other disorders of branched-chain amino-acid metabolism,metabolic,yes,E7119
E71.2,Disorder of branched-chain amino-acid metabolism; unspecified,metabolic,yes,E712
E71.310,Long chain/very long chain acyl CoA dehydrogenase deficiency,metabolic,yes,E7131
E71.311,Medium chain acyl CoA dehydrogenase deficiency,metabolic,yes,E7131
E71.312,Short chain acyl CoA dehydrogenase deficiency,metabolic,yes,E7131
E71.313,Glutaric aciduria type II,metabolic,yes,E7131
E71.314,Muscle carnitine palmitoyltransferase deficiency,metabolic,yes,E7131
E71.318,Other disorders of fatty-acid oxidation,metabolic,yes,E7131
E71.41,Primary carnitine deficiency,metabolic,yes,E7141
E71.42,Carnitine deficiency due to inborn errors of metabolism,metabolic,yes,E7142
E71.440,Ruvalcaba-Myhre-Smith syndrome,metabolic,yes,E7144
E71.448,Other secondary carnitine deficiency,metabolic,yes,E7144
E71.50,Peroxisomal disorder; unspecified,metabolic,yes,E7150
E71.510,Zellweger syndrome,metabolic,yes,E71510
E71.511,Neonatal adrenoleukodystrophy,metabolic,yes,E71511
E71.522,Adrenomyeloneuropathy,metabolic,yes,E71522
E71.529,X-linked adrenoleukodystrophy; unspecified type,metabolic,yes,E71529
E71.548,Other peroxisomal disorders,metabolic,yes,E71548
E72.00,Disorders of amino-acid transport; unspecified,metabolic,yes,E7200
E72.03,Lowe's syndrome,metabolic,yes,E7203
E72.04,Cystinosis,metabolic,yes,E7204
E72.09,Other disorders of amino-acid transport,metabolic,yes,E7209
E72.10,Disorders of sulfur-bearing amino-acid metabolism; unspecified,metabolic,yes,E7210
E72.11,Homocystinuria,metabolic,yes,E7211
E72.19,Other disorders of sulfur-bearing amino-acid metabolism,metabolic,yes,E7219
E72.20,Disorder of urea cycle metabolism; unspecified,metabolic,yes,E7220
E72.22,Arginosuccinic aciduria,metabolic,yes,E7222
E72.23,Citrullinemia,metabolic,yes,E7223
E72.29,Other disorders of urea cycle metabolism,metabolic,yes,E7229
E72.3,Disorders of lysine and hydroxylysine metabolism,metabolic,yes,E723
E72.8,Other specified disorders of amino-acid metabolism,metabolic,yes,E728
E72.9,Disorder of amino-acid metabolism; unspecified,metabolic,yes,E729
E74.00,Glycogen storage disease; unspecified,metabolic,yes,E7400
E74.01,von Gierke disease,metabolic,yes,E7401
E74.04,McArdle disease,metabolic,yes,E7404
E74.09,Other glycogen storage disease,metabolic,yes,E7409
E74.21,Galactosemia,metabolic,yes,E7421
E74.39,Other disorders of intestinal carbohydrate absorption,metabolic,yes,E7439
E74.4,Disorders of pyruvate metabolism and gluconeogenesis,metabolic,yes,E744
E74.8,Other specified disorders of carbohydrate metabolism,metabolic,yes,E748
E74.9,Disorder of carbohydrate metabolism; unspecified,metabolic,yes,E749
E75.02,Tay-Sachs disease,metabolic,yes,E7502
E75.19,Other gangliosidosis,metabolic,yes,E7519
E75.21,Fabry (-Anderson) disease,metabolic,yes,E7521
E75.22,Gaucher disease,metabolic,yes,E7522
E75.23,Krabbe disease,metabolic,yes,E7523
E75.249,Niemann-Pick disease; unspecified,metabolic,yes,E75249
E75.25,Metachromatic leukodystrophy,metabolic,yes,E7525
E75.29,Other sphingolipidosis,metabolic,yes,E7529
E75.4,Neuronal ceroid lipofuscinosis,metabolic,yes,E754
E76.01,Hurler's syndrome,metabolic,yes,E7601
E76.03,Scheie's syndrome,metabolic,yes,E7603
E76.1,Mucopolysaccharidosis; type II,metabolic,yes,E761
E76.219,Morquio mucopolysaccharidoses; unspecified,metabolic,yes,E76219
E76.22,Sanfilippo mucopolysaccharidoses,metabolic,yes,E7622
E76.29,Other mucopolysaccharidoses,metabolic,yes,E7629
E76.3,Mucopolysaccharidosis; unspecified,metabolic,yes,E763
E77.0,Defects in post-translational modification of lysosomal enzymes,metabolic,yes,E770
E77.1,Defects in glycoprotein degradation,metabolic,yes,E771
E78.6,Lipoprotein deficiency,metabolic,yes,E786
E78.70,Disorder of bile acid and cholesterol metabolism; unspecified,metabolic,yes,E7870
E78.71,Barth syndrome,metabolic,yes,E7871
E78.72,Smith-Lemli-Opitz syndrome,metabolic,yes,E7872
E78.81,Lipoid dermatoarthritis,metabolic,yes,E788
E78.89,Other lipoprotein metabolism disorders,metabolic,yes,E788
E78.9,Disorder of lipoprotein metabolism; unspecified,metabolic,yes,E789
E79.1,Lesch-Nyhan syndrome,metabolic,yes,E791
E79.8,Other disorders of purine and pyrimidine metabolism,metabolic,yes,E798
E80.0,Hereditary erythropoietic porphyria,metabolic,no,E800
E80.20,Unspecified porphyria,metabolic,no,E8020
E80.29,Other porphyria,metabolic,no,E8029
E80.5,Crigler-Najjar syndrome,metabolic,no,E805
E83.10,Disorder of iron metabolism; unspecified,metabolic,yes,E83
E83.110,Hereditary hemochromatosis,metabolic,yes,E83
E83.111,Hemochromatosis due to repeated red blood cell transfusions,metabolic,yes,E83
E83.118,Other hemochromatosis,metabolic,yes,E83
E83.119,Hemochromatosis; unspecified,metabolic,yes,E83
E83.19,Other disorders of iron metabolism,metabolic,yes,E83
E84.0,Cystic fibrosis with pulmonary manifestations,pulmonary,yes,E84
E84.11,Meconium ileus in cystic fibrosis,pulmonary,yes,E84
E84.19,Cystic fibrosis with other intestinal manifestations,pulmonary,yes,E84
E84.8,Cystic fibrosis with other manifestations,pulmonary,yes,E84
E84.9,Cystic fibrosis; unspecified,pulmonary,yes,E84
E85.0,Non-neuropathic heredofamilial amyloidosis,metabolic,yes,E85
E85.1,Neuropathic heredofamilial amyloidosis,metabolic,yes,E85
E85.2,Heredofamilial amyloidosis; unspecified,metabolic,yes,E85
E85.3,Secondary systemic amyloidosis,metabolic,yes,E85
E85.4,Organ-limited amyloidosis,metabolic,yes,E85
E85.8,Other amyloidosis,metabolic,yes,E85
E85.9,Amyloidosis; unspecified,metabolic,yes,E85
E88.01,Alpha-1-antitrypsin deficiency,metabolic,no,E880
E88.09,Other disorders of plasma-protein metabolism; not elsewhere classified,metabolic,no,E880
E88.1,Lipodystrophy; not elsewhere classified,metabolic,yes,E881
E88.40,Mitochondrial metabolism disorder; unspecified,metabolic,yes,E884
E88.41,MELAS syndrome,metabolic,yes,E884
E88.42,MERRF syndrome,metabolic,yes,E884
E88.49,Other mitochondrial metabolism disorders,metabolic,yes,E884
E88.81,Metabolic syndrome,metabolic,no,E888
E88.89,Other specified metabolic disorders,metabolic,no,E888
E89.0,Postprocedural hypothyroidism,endocrinological,No,E890
E89.40,Asymptomatic postprocedural ovarian failure,endocrinological,No,E894
E89.41,Symptomatic postprocedural ovarian failure,endocrinological,No,E894
E89.5,Postprocedural testicular hypofunction,endocrinological,No,E895
F04,Amnestic disorder due to known physiological condition,mental health,No,F04
F07.0,Personality change due to known physiological condition,mental health,No,F070
F10.20,Alcohol dependence; uncomplicated,mental health,No,F1020
F10.21,Alcohol dependence; in remission,mental health,No,F1021
F10.96,Alcohol use; unspecified with alcohol-induced persisting amnestic disorder,mental health,No,F1096
F11.20,Opioid dependence; uncomplicated,mental health,No,F1120
F11.21,Opioid dependence; in remission,mental health,No,F1121
F13.20,Sedative; hypnotic or anxiolytic dependence; uncomplicated,mental health,No,F1320
F13.21,Sedative; hypnotic or anxiolytic dependence; in remission,mental health,No,F1321
F14.20,Cocaine dependence; uncomplicated,mental health,No,F1420
F14.21,Cocaine dependence; in remission,mental health,No,F1421
F15.20,Other stimulant dependence; uncomplicated,mental health,No,F1520
F15.21,Other stimulant dependence; in remission,mental health,No,F1521
F16.20,Hallucinogen dependence; uncomplicated,mental health,No,F1620
F16.21,Hallucinogen dependence; in remission,mental health,No,F1621
F18.20,Inhalant dependence; uncomplicated,mental health,No,F1820
F18.21,Inhalant dependence; in remission,mental health,No,F1821
F19.20,Other psychoactive substance dependence; uncomplicated,mental health,No,F1920
F19.21,Other psychoactive substance dependence; in remission,mental health,No,F1921
F20.0,Paranoid schizophrenia,mental health,Yes,F200
F20.1,Disorganized schizophrenia,mental health,Yes,F201
F20.2,Catatonic schizophrenia,mental health,Yes,F202
F20.3,Undifferentiated schizophrenia,mental health,Yes,F203
F20.5,Residual schizophrenia,mental health,Yes,F205
F20.81,Schizophreniform disorder,mental health,Yes,F208
F20.89,Other schizophrenia,mental health,Yes,F208
F21,Schizotypal disorder,mental health,no,F21
F22,Delusional disorders,mental health,no,F22
F24,Shared psychotic disorder,mental health,no,F24
F25.0,Schizoaffective disorder; bipolar type,mental health,yes,F25
F25.1,Schizoaffective disorder; depressive type,mental health,yes,F25
F25.8,Other schizoaffective disorders,mental health,yes,F25
F25.9,Schizoaffective disorder; unspecified,mental health,yes,F25
F31.0,Bipolar disorder; current episode hypomanic,mental health,no,F31
F31.10,Bipolar disorder; current episode manic without psychotic features; unspecified,mental health,no,F31
F31.11,Bipolar disorder; current episode manic without psychotic features; mild,mental health,no,F31
F31.12,Bipolar disorder; current episode manic without psychotic features; moderate,mental health,no,F31
F31.13,Bipolar disorder; current episode manic without psychotic features; severe,mental health,no,F31
F31.2,Bipolar disorder; current episode manic severe with psychotic features,mental health,no,F31
F31.30,Bipolar disorder; current episode depressed; mild or moderate severity; unspecified,mental health,no,F31
F31.31,Bipolar disorder; current episode depressed; mild,mental health,no,F31
F31.32,Bipolar disorder; current episode depressed; moderate,mental health,no,F31
F31.4,Bipolar disorder; current episode depressed; severe; without psychotic features,mental health,no,F31
F31.5,Bipolar disorder; current episode depressed; severe; with psychotic features,mental health,no,F31
F31.60,Bipolar disorder; current episode mixed; unspecified,mental health,no,F31
F31.61,Bipolar disorder; current episode mixed; mild,mental health,no,F31
F31.62,Bipolar disorder; current episode mixed; moderate,mental health,no,F31
F31.63,Bipolar disorder; current episode mixed; severe; without psychotic features,mental health,no,F31
F31.64,Bipolar disorder; current episode mixed; severe; with psychotic features,mental health,no,F31
F31.70,Bipolar disorder; currently in remission; most recent episode unspecified,mental health,no,F31
F31.71,Bipolar disorder; in partial remission; most recent episode hypomanic,mental health,no,F31
F31.72,Bipolar disorder; in full remission; most recent episode hypomanic,mental health,no,F31
F31.73,Bipolar disorder; in partial remission; most recent episode manic,mental health,no,F31
F31.74,Bipolar disorder; in full remission; most recent episode manic,mental health,no,F31
F31.75,Bipolar disorder; in partial remission; most recent episode depressed,mental health,no,F31
F31.76,Bipolar disorder; in full remission; most recent episode depressed,mental health,no,F31
F31.77,Bipolar disorder; in partial remission; most recent episode mixed,mental health,no,F31
F31.78,Bipolar disorder; in full remission; most recent episode mixed,mental health,no,F31
F31.81,Bipolar II disorder,mental health,no,F31
F31.89,Other bipolar disorder,mental health,no,F31
F31.9,Bipolar disorder; unspecified,mental health,no,F31
F32.0,Major depressive disorder; single episode; mild,mental health,no,F32
F32.1,Major depressive disorder; single episode; moderate,mental health,no,F32
F32.2,Major depressive disorder; single episode; severe without psychotic features,mental health,no,F32
F32.3,Major depressive disorder; single episode; severe with psychotic features,mental health,no,F32
F32.4,Major depressive disorder; single episode; in partial remission,mental health,no,F32
F32.5,Major depressive disorder; single episode; in full remission,mental health,no,F32
F32.81,Premenstrual dysphoric disorder,mental health,no,F32
F32.89,Other specified depressive episodes,mental health,no,F32
F32.9,Major depressive disorder; single episode; unspecified,mental health,no,F32
F33.0,Major depressive disorder; recurrent; mild,mental health,no,F33
F33.1,Major depressive disorder; recurrent; moderate,mental health,no,F33
F33.2,Major depressive disorder; recurrent severe without psychotic features,mental health,no,F33
F33.3,Major depressive disorder; recurrent; severe with psychotic symptoms,mental health,no,F33
F33.40,Major depressive disorder; recurrent; in remission; unspecified,mental health,no,F33
F33.41,Major depressive disorder; recurrent; in partial remission,mental health,no,F33
F33.42,Major depressive disorder; recurrent; in full remission,mental health,no,F33
F33.8,Other recurrent depressive disorders,mental health,no,F33
F33.9,Major depressive disorder; recurrent; unspecified,mental health,no,F33
F34.0,Cyclothymic disorder,mental health,no,F340
F34.1,Dysthymic disorder,mental health,no,F341
F39,Unspecified mood [affective] disorder,mental health,no,F39
F429,Obsessive-compulsive disorder,mental health,no,F429
F44.4,Conversion disorder with motor symptom or deficit,mental health,no,F444
F44.5,Conversion disorder with seizures or convulsions,mental health,no,F445
F44.6,Conversion disorder with sensory symptom or deficit,mental health,no,F446
F44.7,Conversion disorder with mixed symptom presentation,mental health,no,F447
F44.81,Dissociative identity disorder,mental health,no,F448
F44.89,Other dissociative and conversion disorders,mental health,no,F448
F44.9,Dissociative and conversion disorder; unspecified,mental health,no,F449
F45.0,Somatization disorder,mental health,no,F450
F45.21,Hypochondriasis,mental health,no,F4521
F45.22,Body dysmorphic disorder,mental health,no,F4522
F50.00,Anorexia nervosa; unspecified,mental health,yes,F50
F50.01,Anorexia nervosa; restricting type,mental health,yes,F50
F50.02,Anorexia nervosa; binge eating/purging type,mental health,yes,F50
F50.2,Bulimia nervosa,mental health,yes,F50
F50.81,Binge eating disorder,mental health,yes,F50
F50.89,Other eating disorders,mental health,yes,F50
F50.9,Eating disorder; unspecified,mental health,yes,F50
F60.0,Paranoid personality disorder,mental health,no,F60
F60.1,Schizoid personality disorder,mental health,no,F60
F60.2,Antisocial personality disorder,mental health,no,F60
F60.3,Borderline personality disorder,mental health,no,F60
F60.4,Histrionic personality disorder,mental health,no,F60
F60.5,Obsessive-compulsive personality disorder,mental health,no,F60
F60.6,Avoidant personality disorder,mental health,no,F60
F60.7,Dependent personality disorder,mental health,no,F60
F60.81,Narcissistic personality disorder,mental health,no,F60
F60.89,Other specific personality disorders,mental health,no,F60
F60.9,Personality disorder; unspecified,mental health,no,F60
F63.0,Pathological gambling,mental health,no,F63
F63.1,Pyromania,mental health,no,F63
F63.2,Kleptomania,mental health,no,F63
F63.3,Trichotillomania,mental health,no,F63
